# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/jewelry/music-box-pendant,55,1.62,00:00:38,100.00%,81.82%
www.jewelmint.com/jewelry/rhapsody-rope-necklace,55,1.45,00:00:54,100.00%,72.73%
www.jewelmint.com/jewelry/three-gold-bangles?aid=1$aff$p3722$c4682$8867,55,1.18,00:00:12,100.00%,81.82%
www.jewelmint.com/jewelry/xo-rings,55,2.71,00:01:52,100.00%,90.91%
www.jewelmint.com/pages/jm-categories-allinone/?view=bracelets&filter=show_jewelmint,55,1.27,00:00:27,100.00%,90.91%
start.jewelmint.com/k/scion/N/N?aid=1$aff$p736$c1195$3669&pr_id={pr_id}&transaction_id=102502862776121011,50,1.98,00:00:00,100.00%,0.00%
start.jewelmint.com/search/?tran..=,50,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/collections/best-sellers-jm?aid=1$fb$p475$c1832$4356,50,4.38,00:02:15,100.00%,20.00%
www.jewelmint.com/collections/stella-and-bow,50,3.48,00:02:50,100.00%,30.00%
www.jewelmint.com/jewelry/barefoot-anklet,50,1.30,00:00:05,100.00%,80.00%
www.jewelmint.com/jewelry/gold-origami-crane-necklace,50,5.76,00:02:38,100.00%,80.00%
www.jewelmint.com/jewelry/keep-it-personal-bracelet,50,3.98,00:04:01,100.00%,60.00%
www.jewelmint.com/jewelry/lunar-light-earrings?aid=1$fb$p475$c1832$4356,50,1.40,00:00:46,100.00%,90.00%
www.jewelmint.com/jewelry/rose-gold-leather-bit-cuff?aid=1$fb$p475$c1832$4356,50,2.78,00:05:13,100.00%,70.00%
www.jewelmint.com/jewelry/summer-mystery-box?aid=1$fb$p475$c1832$4356,50,4.96,00:03:55,100.00%,70.00%
www.jewelmint.com/jewelry/urban-traveler-earrings,50,1.20,00:01:49,100.00%,90.00%
www.jewelmint.com/pages/jm-categories-allinone/?view=whats-new&filter=show_all,50,2.18,00:00:47,100.00%,90.00%
start.jewelmint.com/k/fbbib/shop/bracelet,45,1.11,00:00:04,100.00%,88.89%
start.jewelmint.com/k/fbbib/shop/necklace,45,1.56,00:00:47,100.00%,77.78%
start.jewelmint.com/k/scion/N/N?aid=1$aff$p736$c1195$3669&pr_id={pr_id}&transaction_id=102502862776121007,45,1.98,00:00:00,100.00%,0.00%
www.jewelmint.com/collections/29-99?aid=1$internal-email$p940$c3949$8855,45,4.20,00:03:39,100.00%,33.33%
www.jewelmint.com/collections/best-sellers-jm?aid=1$internal-email$p940$c3949$8819,45,2.42,00:01:45,100.00%,66.67%
www.jewelmint.com/collections/bracelet,45,2.53,00:01:12,100.00%,55.56%
www.jewelmint.com/collections/surprise-candles?aid=1$fb$p475$c1832$4356,45,4.53,00:11:11,100.00%,33.33%
www.jewelmint.com/groupon,45,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/apple-a-day-pendant,45,1.22,00:00:11,100.00%,88.89%
www.jewelmint.com/jewelry/armour-web-ring?aid=1$fb$p475$c1832$4356,45,1.33,00:00:22,100.00%,77.78%
www.jewelmint.com/jewelry/ball-chain-bracelet,45,2.64,00:02:14,100.00%,55.56%
www.jewelmint.com/jewelry/be-the-change-necklace?aid=1$fb$p475$c1832$4356,45,1.22,00:00:11,100.00%,88.89%
www.jewelmint.com/jewelry/covet-rings,45,1.87,00:00:26,100.00%,77.78%
www.jewelmint.com/jewelry/crystal-lace-collar/?aid=1$scu$p1256$c1834$4358,45,1.11,00:00:14,100.00%,88.89%
www.jewelmint.com/jewelry/gala-gem-earrings,45,2.42,00:00:44,100.00%,44.44%
www.jewelmint.com/jewelry/gold-language-of-love-necklace?aid=1$fb$p475$c1832$4356,45,3.64,00:01:15,100.00%,55.56%
www.jewelmint.com/jewelry/Honey-Bee-Earrings/?aid=1$internal-other$p3146$c4031$8213,45,1.00,00:00:00,100.00%,100.00%
